"Hide Price","Ocultar Preço"
Change,Alterar
"Get a Quote Requests","Solicitações de Orçamento"
"Send Email","Enviar E-mail"
Back,Voltar
Delete,Excluir
"You are about to delete this request. Are you sure you want to do that?","Você está prestes a excluir esta solicitação. Tem certeza de que deseja fazer isso?"
"Customer Name","Nome do Cliente"
"Customer Email","E-mail do Cliente"
"Customer Phone","Telefone do Cliente"
Product,Produto
Store,Loja
Created,Criado
Status,Status
Comment,Comentário
"Admin Answer Text","Texto da Resposta do Admin"
"Please update Amasty Base module. Re-upload it and replace all the files.","Atualize o módulo Amasty Base. Envie-o novamente e substitua todos os arquivos."
"Laminas DOM package is not installed (The package is required for hiding ""Add to Cart"" button on Category Page). Please, run the following command in the SSH: composer require laminas/laminas-dom","O pacote Laminas DOM não está instalado (o pacote é necessário para ocultar o botão ""Adicionar ao Carrinho"" na página de categoria). Execute o seguinte comando via SSH: composer require laminas/laminas-dom"
"Amasty Hide Price","Amasty Ocultar Preço"
Requests,Solicitações
"Request was deleted.","Solicitação excluída."
"Can't delete item right now. Please review the log and try again.","Não é possível excluir o item no momento. Verifique o log e tente novamente."
"Can't find a item to delete.","Não foi possível encontrar o item para excluir."
"This request no longer exists.","Essa solicitação não existe mais."
"Get a Quote Request from ","Solicitação de Orçamento de "
"Please select items.","Selecione os itens."
"Get a Quote requests are deleted.","Solicitações de orçamento excluídas."
"Can't delete items right now. Please review the log and try again.","Não é possível excluir os itens no momento. Verifique o log e tente novamente."
"Please enter a Email Text.","Digite o texto do e-mail."
"Email Answer was sent.","Resposta por e-mail enviada."
"Please select request id.","Selecione o ID da solicitação."
"Sorry. There is a problem with Your Quote Request. Please try again or use Contact Us link in the menu.","Desculpe. Há um problema com sua solicitação de orçamento. Tente novamente ou use o link Fale Conosco no menu."
"Thanks for contacting us. We'll respond to you as soon as possible. ","Obrigado por entrar em contato. Responderemos o mais rápido possível. "
"Form key is not valid. Please try to reload the page.","Chave de formulário inválida. Tente recarregar a página."
"Please enter a valid email address.","Informe um endereço de e-mail válido."
"Please enter a name.","Informe um nome."
"Please enter a phone.","Informe um telefone."
"There are no product for your request.","Não há produto para sua solicitação."
"Please agree to the Privacy Policy","Por favor, aceite a Política de Privacidade"
"Custom Forms module was not installed.","O módulo Formulários Personalizados não foi instalado."
"Unable to save request with ID %1. Error: %2","Não foi possível salvar a solicitação com ID %1. Erro: %2"
"Unable to save new request. Error: %1","Não foi possível salvar a nova solicitação. Erro: %1"
"Request with specified ID ""%1"" not found.","Solicitação com ID especificado ""%1"" não encontrada."
"Unable to remove request with ID %1. Error: %2","Não foi possível remover a solicitação com ID %1. Erro: %2"
"Unable to remove request rule. Error: %1","Não foi possível remover a regra de solicitação. Erro: %1"
NONE,NENHUM
"NOT LOGGED IN","NÃO CONECTADO"
No,Não
Yes,Sim
"Replace with custom button","Substituir por botão personalizado"
Hide,Ocultar
Show,Exibir
"-- Default Config --","-- Configuração Padrão --"
"Link to Custom URL","Link para URL Personalizada"
"Amasty Hide Price Popup","Popup de Ocultar Preço da Amasty"
"Popup with Custom Form","Popup com Formulário Personalizado"
"not installed","não instalado"
Pending,Pendente
Viewed,Visualizado
Answered,Respondido
"Adding to the cart is disabled","Adicionar ao carrinho está desabilitado"
"%1 can't be added to your wishlist","%1 não pode ser adicionado à sua lista de desejos"
"Display Price Mode","Modo de Exibição de Preço"
"Use Current Price Mode By Customer Group","Usar Modo de Preço Atual por Grupo de Clientes"
"General Information","Informações Gerais"
"Get a Quote Information","Informações de Orçamento"
"Email Text","Texto do E-mail"
"If you use Custom Form for Get a Quote Requests please click <a href=""%1"">here</a> to review the submitted data.","Se você usa Formulário Personalizado para Solicitações de Orçamento, clique <a href=""%1"">aqui</a> para revisar os dados enviados."
"Get a Quote for","Solicitar Orçamento para"
"Phone Number","Número de Telefone"
GDPR,LGPD
Submit,Enviar
"Hello %name,","Olá %name,"
"Sincerely, %store Team.","Atenciosamente, Equipe %store."
"You have a new quote request placed by","Você tem uma nova solicitação de orçamento feita por"
"Request details:","Detalhes da solicitação:"
"Name: %name","Nome: %name"
"Email: %email","E-mail: %email"
"Phone Number: %phone","Número de telefone: %phone"
"Product: %product","Produto: %product"
"Comment: %comment","Comentário: %comment"
"Best Regards, %store Team.","Atenciosamente, Equipe %store."
"Thank you for contacting us!","Obrigado por entrar em contato!"
"Your quote request is being processed at the moment.","Sua solicitação de orçamento está sendo processada neste momento."
"We’ll get back to you as soon as possible","Entraremos em contato com você o mais breve possível"
Information,Informações
"General Settings","Configurações Gerais"
"Enable Extension","Habilitar Extensão"
"Choose ‘Yes’ to hide the price for the selected product categories and customer groups","Escolha ‘Sim’ para ocultar o preço das categorias de produto e grupos de clientes selecionados"
"Hide Price for Selected Group(s)","Ocultar Preço para Grupo(s) Selecionado(s)"
"Product price will be hidden for the selected customer groups only","O preço do produto será ocultado apenas para os grupos de clientes selecionados"
"Hide Price for Selected Category(s)","Ocultar Preço para Categoria(s) Selecionada(s)"
"Product price will be hidden for the selected product categories only","O preço do produto será ocultado apenas para as categorias selecionadas"
"Do not Apply to Product ID’s","Não Aplicar para ID(s) de Produto"
"Specify comma separated product id’s to show the price for. This setting has the maximum priority","Informe IDs de produto separados por vírgula para os quais o preço será exibido. Esta configuração tem prioridade máxima"
"Do not Apply to Customer ID’s","Não Aplicar para ID(s) de Cliente"
"Specify comma separated customer id’s to show price for. This setting has the maximum priority","Informe IDs de cliente separados por vírgula para os quais o preço será exibido. Esta configuração tem prioridade máxima"
"Email Sender for Admin Reply Email","Remetente do E-mail de Resposta do Admin"
"Email Template for Admin Reply Email","Modelo de E-mail para Resposta do Admin"
"Email template chosen based on theme fallback when ""Default"" option is selected","Modelo de e-mail escolhido com base no fallback do tema quando a opção ""Padrão"" é selecionada"
"Hide Price Options","Opções de Ocultação de Preço"
"Hide ""Add to Cart""","Ocultar ""Adicionar ao Carrinho"""
"Hide ‘Add to Cart’ or replace it with the custom button, e.g. ‘Sign up’ or ‘Get a Quote’","Ocultar ‘Adicionar ao Carrinho’ ou substituir por botão personalizado, ex: ‘Cadastrar’ ou ‘Solicitar Orçamento’"
"Replace ""Add to Cart"" Title with","Substituir Título de ""Adicionar ao Carrinho"" por"
"Replace ""Add to Cart"" Link with","Substituir Link de ""Adicionar ao Carrinho"" por"
"Custom URL","URL Personalizada"
"Custom Form","Formulário Personalizado"
"Css Styles for Replaced Link","Estilos CSS para Link Substituído"
"Hide ""Add to Wishlist""","Ocultar ""Adicionar à Lista de Desejos"""
"Hide wishlist link when price is hidden","Ocultar link da lista de desejos quando o preço estiver oculto"
"Hide ""Add to Compare""","Ocultar ""Adicionar à Comparação"""
"Frontend Options","Opções do Frontend"
"Hide Price Text","Texto de Ocultação de Preço"
"Display the above text when price is hidden, e.g. ‘Call for Price’","Exibir o texto acima quando o preço estiver oculto, ex: ‘Ligue para saber o preço’"
"Custom CSS Styles for Hide Price Link","Estilos CSS Personalizados para o Link de Ocultar Preço"
"Customize the CSS Styles for the Hide Price Link","Personalize os Estilos CSS do Link de Ocultar Preço"
"Upload Image","Enviar Imagem"
"Show the uploaded image instead of price","Exibir a imagem enviada em vez do preço"
"Link Url","URL do Link"
"Use text ‘AmastyHidePricePopup’ for opening Ajax Popup with a ‘Get a Quote’ form. Insert the page URL to redirect customers to any page you need","Use o texto ‘AmastyHidePricePopup’ para abrir um popup Ajax com o formulário de orçamento. Insira a URL da página para redirecionar os clientes"
"Admin Email Notifications","Notificações de E-mail do Admin"
"Send Email to","Enviar E-mail para"
"Leave Empty to Disable Notifications","Deixe em branco para desativar as notificações"
"Email Sender","Remetente do E-mail"
"Email Template","Modelo de E-mail"
"Auto Reply Email Options","Opções de E-mail de Resposta Automática"
Enable,Habilitar
"GDPR Consent","Consentimento LGPD"
Enabled,Habilitado
"Сonsent Text","Texto de Consentimento"
"Custom Stock Status","Status de Estoque Personalizado"
"Hide Price for Custom Stock Status","Ocultar Preço para Status de Estoque Personalizado"
"Installation of Amasty Custom Stock Status module is required","É necessária a instalação do módulo Amasty Custom Stock Status"
"Developer Options","Opções do Desenvolvedor"
"""Add to Cart"" Selector","Seletor de ""Adicionar ao Carrinho"""
"Default value: form[data-role=""tocart-form""], button.tocart","Valor padrão: form[data-role=""tocart-form""], button.tocart"
"Category Item Selector","Seletor de Item da Categoria"
"Are you sure?","Tem certeza?"
"Request ID","ID da Solicitação"
Name,Nome
Email,E-mail
Phone,Telefone
"Product Id","ID do Produto"
"Leave -- Default Config -- to keep using the Stores > Configuration > Hide Price settings","Mantenha -- Configuração Padrão -- para continuar usando as configurações em Lojas > Configuração > Ocultar Preço"
"Enable Display Price Mode for the selected customer groups only","Habilitar Modo de Exibição de Preço apenas para os grupos de clientes selecionados"
"[STORE VIEW]","[VISÃO DA LOJA]"
